STN-ID,STN-NAME,DISTRICT,LAT,LON,ELEVATION (M),BEGIN-DATE,END-DATE
01AN112A,'EPPAWALA WATER SUPPLY','ANURADHAPURA',8.13 N,80.40 E,0.0,1994-01-01,9999-12-31
01AN124A,'GALKIRIYAGAMA','ANURADHAPURA',7.93 N,80.57 E,16.0,1991-12-01,9999-12-31
01AN126B,'GALNAVA','ANURADHAPURA',8.03 N,80.48 E,16.0,1991-11-01,1992-12-31
01AN141A,'HABARANA LODGE','ANURADHAPURA',8.05 N,80.77 E,0.0,2001-04-01,9999-12-31
01AN172C,"'HOROWUPATANA,AGA OFFICE'",'ANURADHAPURA',8.55 N,80.15 E,16.0,1977-10-01,9999-12-31
01AN172D,"'HOROWUPATANA,IHALAGAMA'",'ANURADHAPURA',8.53 N,80.80 E,0.0,1985-10-24,9999-12-31
01AN172D,"'HOROWUPATANA,IHALAGAMA'",'ANURADHAPURA',8.53 N,80.80 E,0.0,1985-10-24,9999-12-31
01AN174A,'HURULUWEWA','ANURADHAPURA',8.22 N,80.72 E,16.0,1948-01-01,1968-04-30
01AN193A,'KAHATAGASDIGILIYA  W/S','ANURADHAPURA',8.42 N,80.68 E,0.0,1994-01-01,9999-12-31
01AN197A,'KALAWEWA COCONUT','ANURADHAPURA',8.02 N,80.53 E,16.0,1993-05-01,9999-12-31
01AN210A,'KANDEGAMA','ANURADHAPURA',7.97 N,80.48 E,16.0,1957-03-01,1960-02-28
01AN227A,'KEBITHIGOLLEWA W/S','ANURADHAPURA',8.63 N,80.67 E,0.0,1995-02-01,9999-12-31
01AN233A,'KEKIRAWA WATER SUPPLY','ANURADHAPURA',8.03 N,80.58 E,0.0,1994-01-01,9999-12-31
01AN289A,'MAHA BULANKULAMA','ANURADHAPURA',8.28 N,80.32 E,16.0,1957-02-01,1963-12-31
01AN291A,'MAHA ILUPPALLAMA TANK','ANURADHAPURA',8.10 N,80.47 E,16.0,1905-01-01,1958-04-30
01AN291B,'MAHAILLUPPALLAMA  S/F','ANURADHAPURA',8.10 N,80.45 E,0.0,1994-01-01,9999-12-31
01AN323A,'MEDAWACHCHIYA W/S','ANURADHAPURA',8.53 N,80.48 E,0.0,1994-01-01,9999-12-31
01AN333B,'MIHINTALE W/S','ANURADHAPURA',8.37 N,80.50 E,0.0,1995-06-01,9999-12-31
01AN385C,'OLUKARANDA','ANURADHAPURA',8.07 N,80.58 E,16.0,1952-01-01,1965-12-31
01AN410A,'PARASANGAHAWEWA FARM','ANURADHAPURA',8.45 N,80.38 E,110.0,2003-01-01,9999-12-31
01AN449B,'RATHMALGAHA-WEWA','ANURADHAPURA',6.23 N,80.30 E,250.0,2006-07-12,9999-12-31
01AN461B,'SEEPPUKULAM','ANURADHAPURA',6.37 N,80.55 E,275.0,2006-04-20,9999-12-31
01AN466B,'SINGHAPURA','TRINCOMALEE',8.93 N,80.87 E,0.0,1998-01-01,9999-12-31
01AN485C,"'TALAWA, IRRIGATION'",'ANURADHAPURA',8.23 N,80.33 E,0.0,1994-01-01,9999-12-31
01AN487A,'THAMMENNAWA','ANURADHAPURA',8.37 N,80.60 E,0.0,1993-01-01,9999-12-31
01AN497A,'TIKKUVIL','ANURADHAPURA',11.18 N,11.18 E,16.0,1957-03-01,1982-12-31
01AN527B,'WAHALKADA','ANURADHAPURA',8.73 N,80.85 E,0.0,1997-12-01,9999-12-31
01BD0006,'ALUTHNUWARA','BADULLA',7.32 N,81.00 E,92.0,1899-10-01,9999-12-31
01BD0034,'BANDARA ELIYA ESTATE','BADULLA',6.78 N,81.02 E,0.0,1935-01-01,9999-12-31
01BD0036,'BANDARAWELA-IRRIGATION','BADULLA',6.83 N,80.98 E,1219.5,1947-04-01,9999-12-31
01BD0039,'BATHMEDILLA','BADULLA',7.07 N,80.97 E,1219.5,1941-11-01,1973-02-28
01BD0047,'BLACKWOOD ESTATE (LOWER)','BADULLA',6.77 N,80.93 E,16.0,1923-03-01,1976-10-31
01BD0050,'BORALANDA','BADULLA',6.85 N,81.03 E,16.0,1942-01-01,1955-01-31
01BD0052,'BULUPITIYA SCHOOL','BADULLA',7.25 N,81.35 E,16.0,1952-11-01,1967-11-30
01BD0079,'DEBEDDE ESTATE','BADULLA',6.95 N,81.12 E,16.0,1925-11-01,9999-12-31
01BD009A,'AMBARAGALA','BADULLA',6.75 N,80.98 E,0.0,1998-06-01,9999-12-31
01BD0102,'DYRABBA ESTATE','BADULLA',6.88 N,80.93 E,1299.5,1914-03-01,9999-12-31
01BD0105,'EKIRIYANKUMBURA','BADULLA',7.30 N,81.23 E,16.0,1943-01-01,1977-07-31
01BD0108,'ELLA (KINNELAN ESTATE)','BADULLA',6.87 N,81.05 E,1006.1,1926-04-01,9999-12-31
01BD0112,'ERABEDDE EXPTL.STATION','BADULLA',11.18 N,*****,16.0,1941-01-01,1977-10-30
01BD0134,'GINNIHERIYA(HORTON PLNS)','BADULLA',6.80 N,80.83 E,16.0,1937-01-01,1975-01-31
01BD0140,'GOURRAKELLE','BADULLA',6.90 N,81.08 E,1189.0,1877-01-01,1991-05-31
01BD0152,'HAPUTALE HOSPITAL','BADULLA',6.78 N,80.97 E,16.0,1886-01-01,1982-11-30
01BD0164,'HINGURUGAMA WATER SUPPLY','BADULLA',6.97 N,81.10 E,16.0,1938-10-01,1980-05-31
01BD0168,'HORABORAWEWA','BADULLA',7.37 N,81.00 E,16.0,1909-11-01,1984-07-31
01BD0207,'KANDAKETIYA','BADULLA',7.17 N,81.02 E,16.0,1947-04-01,9999-12-31
01BD0229,'KEENAKELLE ESTATE','BADULLA',7.05 N,81.02 E,1432.9,1921-04-01,9999-12-31
01BD0231,'KEHELLANDAWEWA','BADULLA',11.18 N,11.18 E,16.0,1932-01-01,1963-12-31
01BD0242,'KINIGAMA','BADULLA',6.83 N,81.05 E,16.0,1941-01-01,1992-11-30
01BD0247,'KIRKLEES ESTATE','BADULLA',6.98 N,80.93 E,1432.9,1934-02-01,9999-12-31
01BD0254,"'KOSLANDA,POLICE STATION'",'BADULLA',6.73 N,81.02 E,16.0,1896-07-01,9999-12-31
01BD0260,'KUMBUKKAN','BADULLA',6.80 N,81.28 E,16.0,1891-02-01,1963-12-31
01BD0271,'LEDGERWATTE ESTATE','BADULLA',7.03 N,81.02 E,16.0,1893-11-01,9999-12-31
01BD0272,'LEMASTOTA','BADULLA',6.75 N,81.00 E,16.0,1930-01-01,1963-12-31
01BD0277,'LOWER SPRING VALLEY','BADULLA',6.92 N,81.10 E,16.0,1884-08-01,9999-12-31
01BD0279,'LUGALOYA','BADULLA',11.18 N,11.18 E,16.0,1932-12-01,1963-07-31
01BD0280,'LUNUGALA ESTATE','BADULLA',6.80 N,81.05 E,16.0,1914-03-01,1963-09-30
01BD0290,'MAHADOWA ESTATE','BADULLA',7.02 N,81.17 E,16.0,1902-02-01,9999-12-31
01BD0324,'MEDDEGODDE ESTATE','BADULLA',11.18 N,11.18 E,16.0,1922-01-01,1972-12-31
01BD0327,'MEERIABEDDE','BADULLA',6.77 N,81.03 E,16.0,1872-09-01,1963-12-31
01BD0363,'NANUPURAWA SCHOOL','BADULLA',11.18 N,11.18 E,16.0,1952-11-01,1970-07-31
01BD0366,'NARANGALLA(BADULLA)','BADULLA',7.05 N,81.00 E,16.0,1929-04-01,9999-12-31
01BD0384,'OHIYA','BADULLA',6.82 N,80.85 E,16.0,1921-01-01,1969-12-31
01BD038A,'BATHGODA-HALDUMMULLA','BADULLA',6.77 N,80.90 E,11.0,1990-07-01,9999-12-31
01BD0411,'PASSARA HOSPITAL','BADULLA',6.93 N,81.17 E,16.0,1899-08-01,1966-12-31
01BD042B,'BEAUVAIS ESTATE','BADULLA',6.78 N,80.90 E,0.0,1996-08-01,9999-12-31
01BD0479,'STRATHEDEN ESTATE','BADULLA',6.88 N,81.02 E,16.0,1912-05-01,1973-12-31
01BD0480,'SUDUPANAWELA','BADULLA',6.77 N,81.20 E,16.0,1909-03-01,1977-09-30
01BD048B,'BOGAHAMADITTA','BADULLA',6.97 N,81.05 E,111.0,1991-04-01,9999-12-31
01BD0504,'UDAHENA ESTATE','BADULLA',6.77 N,81.07 E,16.0,1878-04-01,1971-12-31
01BD0511,'UPPER OHIYA ESTATE','BADULLA',6.78 N,80.85 E,16.0,1902-05-01,1992-09-30
01BD0514,'UVA ESTATE','BADULLA',7.15 N,81.12 E,16.0,1924-07-01,1966-05-31
01BD0539,'WELIMADA GROUP','BADULLA',6.90 N,80.90 E,16.0,1941-01-01,9999-12-31
01BD0541,'WEST HAPUTALE-UDAVERIYA','BADULLA',6.78 N,80.83 E,1707.0,1925-04-01,9999-12-31
01BD0545,'WEWESSA ESTATE','BADULLA',6.97 N,81.10 E,16.0,1913-08-01,9999-12-31
01BD058A,'CANAWARELLA GROUP','BADULLA',6.90 N,81.12 E,1237.8,1941-01-01,9999-12-31
01BD068B,'COLCONDA DIVISION','BADULLA',6.75 N,80.93 E,0.0,1996-08-01,9999-12-31
01BD074D,'DAMBATENNE','BADULLA',6.78 N,81.00 E,1566.0,1996-08-01,9999-12-31
01BD082A,'DELIWA','BADULLA',11.18 N,11.18 E,16.0,1953-01-01,1965-12-31
01BD090A,'DIVULAPELLESSA','BADULLA',7.57 N,80.98 E,0.0,1996-03-01,9999-12-31
01BD093A,'DIYATALAWA-SURVEY CAMP','BADULLA',6.82 N,80.97 E,111.0,1990-10-01,9999-12-31
01BD126A,'GALOOLA ESTATE','BADULLA',7.07 N,81.15 E,16.0,1972-04-01,9999-12-31
01BD127A,'GALPURAYAYA - G/KOTTE','BADULLA',7.45 N,81.02 E,125.0,2002-12-01,9999-12-31
01BD131A,'GLENANORE','BADULLA',6.77 N,80.92 E,1392.0,1996-08-01,9999-12-31
01BD134C,'GIRANDURUKOTTE W/S','BADULLA',7.45 N,81.08 E,0.0,1995-06-01,9999-12-31
01BD134E,'GIRADURUKOTTE','BADULLA',7.45 N,81.02 E,80.0,2006-03-01,9999-12-31
01BD135A,'GLEN ALPIN ESTATE','BADULLA',6.95 N,81.08 E,0.0,1993-01-01,9999-12-31
01BD139B,'GONAMOTAVA','BADULLA',6.78 N,80.98 E,1348.0,1996-08-01,9999-12-31
01BD152A,'HAPUTALE FACTORY','BADULLA',6.77 N,80.95 E,1418.0,1996-08-01,9999-12-31
01BD152B,'HAPUTALE REGIONAL OFFICE','BADULLA',6.78 N,80.97 E,0.0,1996-08-01,9999-12-31
01BD157A,'HEMBARAWA','BADULLA',7.52 N,80.97 E,0.0,1996-03-01,9999-12-31
01BD159B,'HILPANKANDURA ESTATE','BADULLA',7.52 N,80.15 E,16.0,1992-04-01,9999-12-31
01BD180A,'INGINIYAGALA','BADULLA',7.22 N,81.53 E,16.0,1956-01-01,1977-08-31
01BD193B,'KAHAGALLA ESTATE','BADULLA',6.78 N,80.97 E,0.0,1996-08-01,9999-12-31
01BD218A,'KARANDAGAMA','BADULLA',6.92 N,81.23 E,16.0,1954-04-01,1969-08-31
01BD254A,'KOSLANDA ESTATE','BADULLA',6.73 N,81.08 E,0.0,1998-08-01,9999-12-31
01BD310A,'MAPAKADAWEWA','BADULLA',7.27 N,81.03 E,16.0,1941-01-01,9999-12-31
01BD317Q,'RANTEMBE','BADULLA',7.20 N,80.93 E,0.0,1997-04-01,9999-12-31
01BD330C,'MICKLEFIELD FARM','GALLE',6.85 N,80.88 E,0.0,1993-01-01,9999-12-31
01BD353C,'MULLEGAMA','BADULLA',11.18 N,11.18 E,16.0,1953-03-01,1959-12-31
01BD368C,'NAYABEDDE BUNGALOW','BADULLA',6.80 N,80.98 E,0.0,1996-08-01,9999-12-31
01BD368D,'NAYABEDDE','BADULLA',6.80 N,80.00 E,0.0,1996-08-01,9999-12-31
01BD377A,'NILGALA','BADULLA',7.18 N,81.37 E,16.0,1956-01-01,1971-11-30
01BD411A,'PASSARA ESTATE','BADULLA',6.93 N,81.17 E,0.0,1995-05-01,9999-12-31
01BD411B,'PASSARA TEA SHAKTHI','BADULLA',6.95 N,81.20 E,0.0,2005-10-01,9999-12-31
01BD424C,'PITARAT MALAI ESTATE','BADULLA',6.78 N,80.98 E,1524.0,1996-08-01,9999-12-31
01BD428C,"'POONAGALA, PG DIVISION'",'BADULLA',6.78 N,81.05 E,0.0,1997-01-07,9999-12-31
01BD428D,"'POONAGALA, LLG DIV'",'BADULLA',6.77 N,81.03 E,0.0,1997-01-07,9999-12-31
01BD428E,"'POONAGALA, CG DIVISION'",'BADULLA',6.75 N,81.03 E,0.0,1997-01-07,9999-12-31
01BD428F,"'POONAGALA GROUP, FACTORY'",'BADULLA',6.77 N,81.03 E,0.0,1997-01-07,9999-12-31
01BD428G,"'POONAGALA, MCL DIV'",'BADULLA',6.73 N,81.05 E,0.0,1997-01-07,9999-12-31
01BD428H,"'POONAGALA, BTN DIV'",'BADULLA',6.80 N,81.05 E,0.0,1997-01-07,9999-12-31
01BD428I,"'POONAGALA, ULG DIV'",'BADULLA',6.78 N,81.03 E,0.0,1997-01-07,9999-12-31
01BD428J,"'POONAGALA, FACTORY DIV'",'BADULLA',6.77 N,81.05 E,0.0,1997-01-07,9999-12-31
01BD428K,"'POONAGALA, UH DIVISION'",'BADULLA',6.75 N,81.05 E,0.0,1997-01-07,9999-12-31
01BD452A,'RIDIMALIYADDA','BADULLA',7.22 N,80.12 E,200.0,2008-06-27,9999-12-31
01BD473C,'ST.CATHERINE DIVISION','BADULLA',6.78 N,81.02 E,0.0,1996-08-01,9999-12-31
01BD483A,'TELBEDDA ESTATE','BADULLA',6.97 N,81.10 E,958.0,2010-04-01,9999-12-31
01BD501B,'TISSAPURA','BADULLA',7.30 N,81.08 E,150.0,2008-06-27,9999-12-31
01BD545A,'WEWESSE MIDDLE DIVISION','BADULLA',6.95 N,81.10 E,0.0,1997-05-01,9999-12-31
01BT0027,'AYITHIYAMALAI','BATTICALOA',7.67 N,81.57 E,16.0,1945-06-01,1970-02-28
01BT0191,'KADUKKAMUNAI','BATTICALOA',7.60 N,81.75 E,3.0,1908-12-01,9999-12-31
01BT0198,'KALMUNAI','BATTICALOA',7.42 N,81.83 E,3.0,1879-01-01,9999-12-31
01BT0206,'KANAKADU','BATTICALOA',7.25 N,81.63 E,16.0,1911-08-01,1967-09-30
01BT0217,'KARADIYAN ARU','BATTICALOA',7.70 N,81.53 E,16.0,1938-01-01,1971-10-31
01BT0261,'KUMANA','BATTICALOA',6.52 N,81.70 E,16.0,1943-03-01,1963-12-31
01BT0304,'MANALPITI ARU ANICUT','BATTICALOA',7.57 N,81.68 E,16.0,1895-03-01,1984-10-31
01BT0357,'MYLAMBAVELLY ESTATE','BATTICALOA',7.77 N,81.63 E,16.0,1935-04-01,1962-05-31
01BT0368,'NAULA TANK','BATTICALOA',6.80 N,81.78 E,16.0,1911-02-01,1936-07-31
01BT0369,'NAVATKIRI AAR','BATTICALOA',7.47 N,81.72 E,16.0,1928-04-01,1985-05-31
01BT0372,'NEETHAIKULAM','BATTICALOA',7.18 N,81.75 E,16.0,1927-09-01,1976-12-31
01BT0408,'PARAGAHAKELLE','BATTICALOA',7.25 N,81.62 E,16.0,1959-01-01,1960-03-31
01BT0431,'POTTUVIL ESTATE','BATTICALOA',6.88 N,81.83 E,16.0,1927-01-01,1954-11-30
01BT0434,'PUNANI','BATTICALOA',7.95 N,81.35 E,16.0,1990-01-01,1991-04-30
01BT0468,'SITTANDIKUDI','BATTICALOA',7.82 N,81.57 E,16.0,1952-02-01,1964-09-30
01BT0494,'THOTTAMA','BATTICALOA',7.12 N,81.68 E,16.0,1944-01-01,1971-06-30
01BT0495,'THUMPENKENI TANK','BATTICALOA',7.53 N,81.77 E,16.0,1901-07-01,1990-03-31
01BT0497,'TIMITAR ESTATE','BATTICALOA',7.02 N,81.87 E,16.0,1925-03-01,1963-09-30
01BT0510,'UNICHCHAI TANK','BATTICALOA',7.62 N,81.55 E,16.0,1901-06-01,1978-12-31
01BT0515,'VAKANERI','BATTICALOA',7.92 N,81.43 E,16.0,1901-01-01,1972-11-30
01BT0516,'VALACHCHENAI','BATTICALOA',7.92 N,81.53 E,16.0,1938-04-01,9999-12-31
01BT0524,'VIRAGODA','BATTICALOA',7.37 N,81.70 E,16.0,1909-01-01,1976-12-31
01BT0536,'WAWINNA','BATTICALOA',7.23 N,81.57 E,16.0,1952-01-01,1963-09-30
01BT197B,'KALKUDAH','BATTICALOA',7.88 N,81.55 E,0.0,1996-07-01,9999-12-31
01BT206A,'KANDAKADUTARAI','BATTICALOA',8.07 N,81.15 E,16.0,1953-11-01,1966-08-31
01BT244B,'KIRANKULAM','BATTICALOA',7.60 N,81.77 E,2.0,2005-09-29,9999-12-31
01BT410B,'PASSIKUDA','BATTICALOA',7.93 N,81.55 E,5.0,2005-04-29,9999-12-31
01BT419A,'PERIYA ARU','BATTICALOA',7.50 N,81.50 E,16.0,1941-01-01,1963-12-31
01CB0003,'ALEXANDRA ESTATE','COLOMBO',7.08 N,79.90 E,16.0,1939-01-01,1979-12-31
01CB0016,'ANGODA MENTAL HOSPITAL','COLOMBO',6.93 N,79.92 E,15.2,1930-04-01,9999-12-31
01CB0025,'AVISSAWELLA ESTATE','COLOMBO',6.92 N,80.18 E,228.7,1897-01-01,9999-12-31
01CB0026,'AVISSAWELLA HOSPITAL','COLOMBO',6.95 N,80.22 E,30.5,1879-01-01,9999-12-31
01CB0038,'BATTARAMULLA','COLOMBO',6.90 N,79.92 E,15.0,2007-04-05,9999-12-31
01CB0067,'COLOMBO-ELIE HOUSE','COLOMBO',6.97 N,79.87 E,16.0,1919-11-01,1975-02-28
01CB0068,'COLOMBO-FORT (S.G.O)','COLOMBO',6.93 N,79.85 E,16.0,1943-01-01,1987-06-30
01CB0069,"'COLOMBO,MALIGAKANDA'",'COLOMBO',6.98 N,79.87 E,16.0,1894-01-01,1973-02-28
01CB0080,'DEHIWALA ZOO','COLOMBO',6.85 N,79.87 E,16.0,1936-09-10,9999-12-31
01CB0119,'FRANKLANDS ESTATE','GAMPAHA',7.18 N,80.05 E,16.0,1887-03-01,1973-10-31
01CB0150,'HANWELLA GROUP','COLOMBO',6.88 N,80.12 E,16.0,1932-06-01,9999-12-31
01CB0174,'HUNUPITIYA','COLOMBO',6.98 N,79.90 E,16.0,1937-01-01,1963-12-31
01CB0179,'INDIKADE','COLOMBO',6.88 N,80.15 E,16.0,1941-01-01,9999-12-31
01CB0268,'LABUGAMA TANK','COLOMBO',6.83 N,80.18 E,16.0,1879-07-08,9999-12-31
01CB0347,'MORATUWA','COLOMBO',6.78 N,79.88 E,16.0,1927-01-01,1963-12-31
01CB038B,'BATTARAMULLA','COLOMBO',6.90 N,79.92 E,15.0,2007-04-05,9999-12-31
01CB0390,'ORUWALA','COLOMBO',6.88 N,80.00 E,16.0,1967-02-01,9999-12-31
01CB0391,'ORANGE HILL','COLOMBO',7.03 N,79.93 E,16.0,1885-07-01,1977-07-31
